"id","sid","jname","ename","flist"
147,21,"喉頭","Laryngeal Disease","0.03,0.24,0.62,0.83,183.39,315.62,432.39,691.50,822.54,923.01"
148,21,"声帯","Voice Disorders","0.08,0.16,15.50,85.00,92.00,357.30,541.00,657.11,833.20,987.23"
149,21,"甲状腺","Thyroid","0.763"
150,21,"副腎疾患","Adrenal Gland Disease","0.07,5.50,73.30,134.25,357.30,454.37,519.68,689.41,712.23,993.41"
151,21,"副腎皮質機能低下","Addison Disease","0.19,0.75,0.90,7.50,27.50,222.70,425.71,563.19,642.91,978.05"
152,22,"口唇ヘルペス","Herpes Labialis","0.11,0.55,1.23,5.58,27.50,291.25,293.05,292.00,345.50,824.37"
153,22,"性器ヘルペス","Herpes Genitalis","0.12,0.55,0.95,291.25,293.05,292.00,345.50,495.22,734.25,824.37"
154,22,"水痘ウイルス","Herpes Zoster","0.12,0.45,0.90,5.91,137.50,372.50,416.60,420.20,418.00,824.37"
155,22,"エプステインバール ウイルス","Epstein-Barr Virus","0.07,0.52,0.70,0.93,372.50,375.00,380.00,382.85,519.34,791.28"
156,22,"サイトメガロウイルス","Cytomegalovirus Infections","0.07,0.12,0.85,9.50,88.00,141.20,297.50,425.95,675.31,827.00"
157,22,"突発性発疹","Roseola Infantum","0.07,0.50,0.95,7.50,10.53,132.50,242.50,392.01,629.26,915.48"
158,22,"ポリオーマウイルス","Polyomavirus Infections","0.13,0.52,6.75,71.25,105.15,347.50,572.50,690.00,775.87,826.90"
159,22,"アデノウイルス","Adenovirus Infections","0.18,0.52,0.80,37.50,93.20,150.00,392.90,509.35,755.00,866.15"
160,22,"パピローマウイルス","Human Papilloma Virus","0.04,0.32,0.57,0.85,30.25,173.21,301.80,402.85,410.70,475.47"
161,22,"天然痘","Smallpox","0.08,0.35,5.50,35.17,62.50,93.50,225.00,496.01,682.45,753.07"
162,22,"ヒトパルボウイルス","Fifth  Disease","0.07,0.24,0.65,0.90,2.50,27.50,155.36,215.70,375.54,522.53"
163,23,"カリシウイルス","Caliciviridae Infections","0.06,0.49,0.57,7.50,2.50,30.00,72.50,225.75,419.34,561.93"
164,23,"ポリオ","Polio","0.02,0.12,0.75,37.93,105.17,213.71,465.00,597.50,724.37,825.34"
165,23,"コクサッキーウイルス","Coxsackie Virus Infections","0.07,0.22,0.62,2.50,360.50,366.10,364.00,475.29,527.00,667.00"
166,23,"手足口病","Foot and Mouth Disease","0.12,0.55,0.85,72.50,125.75,375.19,477.50,527.00,667.00,752.70"
167,23,"日本脳炎","Encephalitis Japanese","0.15,0.23,0.60,0.95,7.50,150.89,455.34,527.50,896.50,917.20"
168,23,"コロナウイルス","Coronaviridae Infections","0.08,0.35,5.75,12.93,63.47,182.50,435.29,562.50,793.50,995.75"
169,23,"テング熱","Dengue Fever","0.16,0.55,1.85,17.50,82.50,192.50,352.50,519.34,750.00,824.37"
170,23,"風疹","Rubella Virus","0.07,0.24,0.60,7.22,132.25,427.50,555.95,690.00,875.00,936.42"
171,23,"黄熱","Yellow Fever Virus","0.05,7.50,17.50,47.50,96.50,475.05,527.00,657.11,753.23,987.23"
172,23,"アルファウイルス","AlphaVirus","0.12,0.78,12.71,55.00,90.00,175.05,425.00,571.00,822.00,932.00"
173,24,"麻疹ウイルス","Measles Virus","0.06,0.26,0.75,2.25,7.50,52.50,369.50,373.01,371.05,687.62"
174,24,"RSウイルス","Respiratory Syncytial Virus Infections","0.04,0.55,0.57,0.87,7.50,50.19,140.00,390.00,624.37,819.34"
175,24,"パラインフルエンザウイルス","Parainfluenza Virus","0.07,0.33,1.06,5.20,27.53,102.37,145.47,203.00,486.10,535.91"
176,24,"ムンプス","Mumps Virus","0.13,0.30,0.83,2.50,7.50,22.50,142.02,251.02,325.58,471.87"
177,24,"ニパウイルス(脳炎)","Nipah Virus Encephalitis","0.07,0.33,1.06,5.20,27.53,102.37,145.47,203.00,486.10,535.91"
178,24,"インフルエンザウイルス","Influenza General","0.08,0.25,0.57,7.50,10.53,12.50,40.00,313.35,320.00,615.00"
179,24,"インフルエンザA","Influenza A","0.25,0.02,0.45,0.65,2.21,6.15,10.23,15.91,30.28,77.50,327.11"
180,24,"インフルエンザB","Influenza B","0.25,10.53,12.50,40.00,170.00,313.35,315.00,323.90,320.00,615.00"
181,24,"ヘンドラウイルス","Hendra Virus","0.07,0.33,1.06,5.20,27.53,102.37,145.47,203.00,486.10,535.91"
182,24,"ラッサ熱","Lassa Fever","0.03,0.24,4.57,57.50,110.47,321.82,491.31,681.28,721.66,839.34"
183,24,"狂犬病","Rabies Virus","0.07,0.18,1.65,7.93,102.53,165.50,415.00,693.50,875.31,915.93"
184,24,"ハンターウイルス","Hantavirus","0.07,0.12,0.60,0.87,2.25,125.52,387.50,525.00,707.50,816.50"
185,24,"ボルナ病","Borna Virus","0.04,0.35,2.50,35.16,93.50,458.50,517.50,689.41,712.00,993.41"
186,24,"ブニヤウイルス","Bunya Virus","0.26,0.65,5.12,7.00,42.50,200.00,458.50,515.15,683.00,712.42"
187,25,"HIV","HIV","0.15,5.58,22.00,30.00,47.50,162.82,365.00,388.90,434.00,456.11"
188,25,"HTLV-III感染","HTLV-III Infections","0.15,5.58,22.00,30.00,47.50,162.82,365.00,388.90,434.00,456.11"
189,25,"レトロウイルス","Human Retrovirus","0.07,0.88,9.71,68.83,102.85,205.28,312.50,492.50,675.95,823.37"
190,26,"肝炎ウイルス","Hepatitis Viral Human","0.15,0.18,0.87,5.29,27.50,45.56,65.29,95.22,182.50,233.45"
191,26,"スローウイルス","Slow Virus","0.19,0.37,0.75,45.19,65.00,96.50,225.75,514.35,652.43,759.83"
192,26,"アルボウイルス","Arbo Virus","0.07,0.68,2.33,35.00,87.50,476.50,527.00,667.00,753.23,987.23"
193,26,"髄膜炎","Meningitis Viral Bacterial","0.12,0.23,0.93,2.50,30.00,155.68,262.10,315.61,527.50,725.37,0.25,2.75"
194,26,"マイコプラズマ","Mycoplasma","0.19,0.40,0.95,322.85,323.90,323.50,342.75,346.00,349.30,923.01"
195,27,"ブドウ球菌","Staphylococcal Infections","0.05,0.41,0.80,5.25,87.50,42.50,376.27,378.00,380.85,381.00"
196,27,"肺炎球菌","Pneumococcal","0.05,0.35,2.75,30.93,75.81,187.50,405.32,715.00,803.51,905.32"
197,27,"溶血性連鎖球菌(猩紅熱)","Scarlet Fever","0.11,0.23,0.85,5.15,15.00,115.27,240.00,462.50,750.00,957.30"
198,27,"連鎖球菌","Streptococcal Infections","0.15,0.70,2.50,5.25,47.50,70.00,369.75,385.40,842.00,932.00"
199,27,"黄色ブドウ球菌","Staphylococcus aureus","0.378,0.381"
200,28,"マイコバクテリウム","Mycobacterium Infections","0.06,0.32,0.60,409.65,410.65,410.00,430.55,434.20,432.00,825.00"
201,28,"放線菌(ノカルディア属)","Nocardia","0.16,0.32,0.95,7.50,32.50,47.50,95.29,376.29,675.29,727.00"
202,28,"炭素菌","Anthrax","0.07,0.68,0.93,5.50,11.09,119.34,150.00,175.33,545.00,705.00"
203,28,"ジフテリア","Diphtheria","0.09,0.25,0.78,2.75,12.69,7.50,95.83,334.25,453.72,515.31"
204,28,"バチルス菌（枯草菌)","Bacillus  Infections","0.05,0.37,0.83,2.50,3.00,73.30,355.08,359.00,363.00,393.00"""
205,29,"ボツリヌス菌","Botulism","0.02,0.32,16.55,85.00,232.41,458.50,519.68,687.62,712.42,992.00"
206,29,"破傷風菌","Tetanus","0.08,0.32,0.65,7.50,37.50,67.50,96.50,527.00,663.71,986.22"
207,29,"ウェルシュ菌","Clostridium","361.00,362.00,364.55,382.80,384.00,389.00,391.15,394.20,396.00,398.10"""
210,30,"ピロリ菌","Helicobacter  Pylori","0.25,0.85,2.23,30.00,95.00,107.10,225.30,438.95,633.10,823.41"
211,30,"ライム病","Lyme Disease","0.65,2.50,7.50,25.23,70.00,42.50,95.67,378.95,523.01,682.02"
212,30,"淋病","Gonorrhea","0.20,0.25,0.57,13.61,23.25,221.75,333.85,336.50,334.00,971.00"
213,30,"カンピロバクター","Campylobacter","0.13,0.35,47.50,159.30,352.93,475.15,527.00,662.71,742.00,988.90"
214,30,"レプトピスラ症","Leptospirosis","0.07,0.24,10.57,37.29,132.81,313.75,437.50,520.50,631.94,771.00"
215,31,"リケッチア","Rickettsia Infections","0.13,0.18,0.83,5.25,127.50,212.50,335.28,560.00,695.95,997.50"
216,31,"エールヒア症","Ehrlichiosis","0.08,0.12,0.85,58.87,224.03,410.20,585.83,626.07,725.34,826.90"
217,31,"コクシエラ","Q Fever","0.80,1.12,9.85,51.71,75,93,412.02,385.69,690.00,812.93,906.42"
218,31,"エキノコッカス","Echinococcosis","0.12,0.55,5.85,81.50,127.55,241.52,471.50,625.30,853.00,915.09"
219,31,"クラミジア","Chlamydiaceae Infections","0.05,0.41,0.80,7.50,125.19,275.00,424.37,560.00,642.91,985.90"
220,31,"グラム陽性菌","Gram-Positive Bacterial Infections","0.15,0.92,2.75,13.22,163.00,275.29,307.25,435.37,587.50"
221,31,"グラム陰性菌","Gram-Negative Bacterial Infections","0.15,9.23,42.75,183.85,275.29,307.25,435.37,587.50"
222,32,"サルモネラ","Salmonella Infections","0.18,0.57,1.85,7.50,329.00,382.30,386.55,355.00,386.00,390.00"
223,32,"乳酸菌","Lactobacillus acidophilus","346.05,347.00,348.00,349.00,350.00,351.65,352.00,353.00,354.00,355.00"
224,32,"大腸菌","Escherichia coli Infections","0.16,0.41,0.73,0.83,7.50,356.00,393.00,425.00,610.50,826.07"
225,32,"エルシニア","Yersinia","0.15,5.50,12.85,35.16,93.50,269.71,426.90,571.00,822.00,937.41"
226,32,"プロテウス症候群","Proteus Syndrome","0.06,0.25,0.87,12.30,55.71,85.00,187.50,442.50,696.50,875.31"
227,32,"フソバクテリウム感染症","Fusobacterium Infections","0.19,0.18,0.75,9.00,11.09,22.50,47.50,115.70,377.91,470.12"
228,32,"クレブシエラ","Klebsiella Infections","0.13,0.41,0.65,0.97,7.50,10.47,398.45,401.00,404.65,419.00"
229,32,"猫引っかき病(バルトネラ)","Bartonella Infections","0.07,0.12,1.63,20.00,40.00,134.25,357.77,510.25,752.63,923.70"
230,32,"デュクレイ菌","Chancroid","0.24,0.70,7.50,72.50,119.34,324.37,515.70,682.02,754.19,941.00"
231,32,"インフルエンザ菌","Haemophilus influenzae","0.05,0.37,0.83,2.50,3.00,73.30,95.75,175.00,269.71,336.41"
232,32,"赤痢","Shigella Infections","3.00,73.30,95.75,175.00,269.71,318.00,390.09,394.00,426.22,512.81"
233,33,"トリコモナス","Trichomonas Infections","0.17,0.62,2.75,15.75,42.50,62.50,97.50,357.30,712.23,997.87"
234,33,"原虫","Protozoan  Infections","0.02,0.23,0.85,5.71,55.83,172.50,317.50,663.50,725.31,853.02"
235,33,"アメーバ症","Amebiasis","0.52,2.50,40.00,95.00,376.29,476.50,527.00,665.34,752.70,987.23"
236,33,"ランブル鞭毛虫","Lambliasis","0.05,0.35,0.60,0.87,2.25,5.29,55.47,97.50,324.37,425.52"
237,33,"ファシオロプシスブスキー","Parasite Fasciolopsisi Buskii adult and egg","0.68,0.90,2.50,5.50,13.93,93.50,386.40,427.70,435.10,434.00,427.35,435.45"
238,34,"ブルセラ症","Brucellosis","0.05,35.75,60.00,93.50,225.15,454.34,517.50,687.62,712.00,992.00"
239,34,"緑膿菌","Pseudomonas","0.06,0.23,8.85,45.25,115.30,215.31,437.50,662.50,825.34,917.03"
240,34,"百日咳","Pertussis","0.10,0.35,0.95,13.61,27.50,47.50,60.00,110.25,425.05,932.00"
241,34,"レジオネラ","Legionella","0.19,0.23,0.85,2.50,32.50,192.28,391.28,562.50,725.69,975.23"
242,34,"大原病(野兎病)","Tularemia","0.06,0.32,2.25,32.50,67.50,97.50,96.50,150.00,682.02,752.63"
243,35,"クリプトコッカス","Cryptococcosis","0.97,1.12,17.75,51.20,131.02,217.50,517.50,653.00,772.29,956.03"
244,35,"ヒストプラズマ症","Histoplasmosis","0.07,0.23,0.83,2.50,13.93,12.71,55.56,93.50,375.87,426.90"
245,35,"接合菌症","Zygomycosis","0.14,0.49,0.73,0.95,97.50,175.33,476.50,527.00,667.00,752.70"
246,35,"アスペルギルス症","Aspergillosis","0.12,0.83,5.00,7.25,37.50,357.30,434.25,563.19,709.83,978.05"
247,35,"カンジタ症","Candidiasis","0.18,0.93,2.50,42.50,71.50,96.50,125.75,434.00,642.91,983.17"
248,35,"でんぷう菌","Tinea  versicolor","0.05,0.41,0.60,0.85,350.00,479.50,527.00,663.71,752.70,987.23"
249,35,"白癬菌","Trichophytosis","0.05,0.41,22.50,57.50,325.16,476.50,527.00,667.00,749.00,986.22"
250,36,"根","Root","0.39"
251,36,"仙骨","Sacral","0.4"
252,36,"太陽","Solar","0.43"
253,36,"心臓","Heart","0.65"
254,36,"喉","Throat","6.87"
255,36,"第三の目","３rd Eye","7.93"
256,36,"王冠","Crown","8.33"
257,36,"松果体","Pineal","8.48"
258,36,"下垂体","Pituitary","8.63"
259,36,"王冠の花弁","Crown Lotus","8.82"
260,37,"不安","Anxiety","0.08,0.62,0.87,5.81,225.00,423.07,572.00,727.33,841.12,903.91"
261,37,"恐怖症","Phobia School","0.02,0.23,0.65,16.95,73.50,120.53,355.54,607.59,816.51,979.93"
262,37,"うつ","Depression","0.14,0.22,0.62,7.50,15.50,41.09,465.69,597.50,722.70,875.9"
263,37,"双極性障害","Bipolar Disorder","0.16,0.80,7.50,30.00,67.50,125.00,352.93,563.19,642.91,930.12"
265,37,"睡眠障害","Sleep Disorder","0.13,0.40,0.62,42.50,57.50,92.50,175.00,475.17,527.00,667.00"
266,37,"循環気質","Cyclothymic Disorder","0.15,0.23,0.60,0.95,7.50,18.30,155.03,517.50,696.50,893.00"
267,37,"分離性ヒステリー","Hysteria Dissociative","0.11,0.49,0.97,17.30,29.50,422.50,602.50,715.31,803.50,924.37"
268,37,"心気症","Hypochondriasis","0.03,0.50,0.85,7.50,8.00,127.50,235.58,525.79,725.00,825.79"
269,37,"心配","worry","6.13"
270,37,"病気による落ち込み","worry Illness","0.664,0.764"
271,37,"脅迫観念,神経症","Obsessive Compulsive Disorder","0.19,0.75,1.42,5.25,25.51,42.57,162.21,492.83,671.51,808.53"
272,37,"脳のバランス","Brain Disorder","0.04,0.25,0.46,0.32,0.52,0.75,42.50,87.50,132.41,376.29"
273,37,"統合失調症","Schizophrenia","0.07,0.50,0.97,9.00,12.85,132.50,337.50,524.37,758.57,955.72"
274,37,"精神病","Psychotic Disorder","0.57,0.68,0.87,2.50,5.71,32.50,92.50,322.53,519.34,653.69"
275,37,"依存症(薬、一般)","Addiction","0.28,0.35,0.47,1.88,4.34,5.20,43.42,143.04,234.04,343.45"
276,37,"霊性","Spirit","1.565"
277,37,"ネガティブエネルギーの除去","Remove negative Energy","20.08,89.08"
278,38,"脳腫瘍","Cancer Brain Tumor","0.04,0.02,0.03,5.03,119.34,350.00,434.33,691.27,759.83,927.10"
279,38,"乳がん","Cancer Breast","0.02,0.46,5.12,27.50,85.00,95.75,150.00,434.71,682.45,753.07"
280,38,"骨肉種","Cancer Bone","0.57,0.83,2.85,32.50,97.50,322.53,434.42,566.41,835.96,978.85"
281,38,"肝臓がん","Cancer Liver","0.11,0.52,81.30,135.71,221.50,434.50,570.51,691.51,775.48,971.55"
282,38,"肺がん(大)","Cancer Lung","0.05,0.41,0.62,15.75,87.50,434.00,512.33,655.20,750.00,927.10"
283,38,"食道がん","Cancer Esophageal","0.05,0.52,0.60,0.93,12.69,125.00,260.71,434.03,301.00,812.20"
284,38,"胃腸がん","Cancer Gastric","0.05,0.52,0.60,0.93,12.69,125.00,269.71,434.03,571.00,839.00"
285,38,"直腸腸がん","Cancer Rectal","0.46,27.50,17.50,37.50,85.00,95.75,150.00,434.00,571.00,840.00"
286,38,"膀胱がん","Cancer Urinary Bladder","0.08,5.75,7.25,50.00,97.50,210.50,434.37,655.20,750.00,927.10"
287,38,"腎臓がん","Kideny Cancer","0.13,0.57,0.78,12.27,68.29,135.25,272.72,434.53,733.91,836.42"
288,38,"血管腫","Hemangioma","0.15,0.24,0.70,0.83,2.50,17.50,432.50,555.91,625.29,775.52"
289,38,"多発性骨髄腫","Multiple Myeloma","0.06,0.35,0.62,0.97,12.50,27.50,142.50,325.87,623.01,815.58"
290,38,"子宮がん","Cancer Uterine","0.04,0.40,0.78,5.29,7.50,37.00,95.50,434.00,792.00,985.67"
291,38,"前立腺がん","Cancer Prostate","0.13,0.57,0.83,2.25,97.50,325.71,434.16,527.00,667.00,742.00"
292,38,"過誤腫","Hamartoma Syndrome","0.06,0.26,0.68,9.00,10.89,45.91,125.29,526.16,652.43,750.00"
293,38,"肉腫","Cancer Sarcoma General","1.97,2.04,2.10,2.49,3.17,5.00,5.57,10.24,13.72,15.61,10.00,6.00,5.00,3.17,2.49,2.04,2.10,1.97,2.04,8.03"
294,38,"腺腫","Adenoma","0.04,5.81,22.50,52.50,224.37,434.00,527.00,667.00,721.00,987.23"
295,38,"全身転移","Metastasis","0.10,0.61,7.67,32.00,225.03,434.15,527.00,662.71,712.00,750.00"
296,38,"メラノーマ","Cancer Melanoma","0.49,0.70,32.80,102.25,212.75,321.20,434.00,545.68,795.61,857.7"
297,38,"未分化がん","Carcinoma, Undifferentiated","0.13,0.23,0.73,0.83,5.12,7.25,32.50,90.00,175.75,434.53"
298,38,"残余がん","Residual Cancer","0.61,15.90,52.81,62.71,97.53,248.00,434.50,524.37,601.27,781.09"
299,38,"皮膚がん","Cancer Skin","0.15,2.12,20.00,45.15,73.30,96.50,125.00,375.75,434.33,563.19"
3000,39,"カスタム1","Custom1","0,0,0,0"
